soprano;alto;tenor;bass;measure;composer;corpus
[['C5', 1.0], ['A4', 2.0]];[['A4', 1.0], ['F4', 2.0]];[['F4', 1.0], ['C4', 2.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 1.0], ['F3', 1.0]];0;bach;bwv248.42-s
[['G4', 2.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['C4', 1.5], ['B-3', 0.5], ['A3', 1.0]];[['C3', 2.0], ['D3', 1.0]];1;bach;bwv248.42-s
[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 0.5], ['B-3', 0.25], ['C4', 0.25]];[['G3', 0.5], ['F3', 0.5], ['E-3', 1.0], ['F3', 1.0]];2;bach;bwv248.42-s
[['D5', 3.0]];[['F4', 3.0]];[['C4', 1.0], ['B-3', 0.5], ['A3', 0.5], ['B-3', 1.0]];[['B-2', 0.5], ['C3', 0.5], ['D3', 1.0], ['B-2', 1.0]];3;bach;bwv248.42-s
[['C5', 3.0]];[['F4', 3.0]];[['A3', 3.0]];[['F3', 3.0]];4;bach;bwv248.42-s
[['D5', 1.0], ['B-4', 2.0]];[['A4', 1.0], ['G4', 2.0]];[['F4', 1.0], ['D4', 2.0]];[['D3', 1.0], ['G3', 1.0], ['F3', 1.0]];5;bach;bwv248.42-s
[['C5', 2.0], ['F4', 1.0]];[['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['E3', 1.0], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5]];6;bach;bwv248.42-s
[['B-4', 1.0], ['A4', 2.0]];[['F4', 0.5], ['G4', 0.5], ['G4', 1.0], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 2.0]];[['D3', 0.5], ['E3', 0.5], ['F3', 1.0], ['F3', 1.0]];7;bach;bwv248.42-s
[['G4', 3.0]];[['E4', 3.0]];[['C4', 3.0]];[['C3', 3.0]];8;bach;bwv248.42-s
[['C5', 1.0], ['A4', 2.0]];[['A4', 1.0], ['F4', 2.0]];[['F4', 1.0], ['C4', 2.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 1.0], ['F3', 1.0]];9;bach;bwv248.42-s
[['G4', 2.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['C4', 1.5], ['B-3', 0.5], ['A3', 1.0]];[['C3', 2.0], ['D3', 1.0]];10;bach;bwv248.42-s
[['B-4', 1.0], ['C5', 1.5], ['D5', 0.25], ['E-5', 0.25]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 0.5], ['B-3', 0.25], ['C4', 0.25]];[['G3', 0.5], ['F3', 0.5], ['E-3', 1.0], ['F3', 1.0]];11;bach;bwv248.42-s
[['D5', 3.0]];[['F4', 3.0]];[['C4', 1.0], ['B-3', 0.5], ['A3', 0.5], ['B-3', 1.0]];[['B-2', 0.5], ['C3', 0.5], ['D3', 1.0], ['B-2', 1.0]];12;bach;bwv248.42-s
