soprano;alto;tenor;bass;measure;composer;corpus
[['E4', 1.0], ['E4', 1.0], ['B4', 1.0], ['B4', 0.5], ['C5', 0.5]];[['B3', 1.0], ['B3', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0]];[['G3', 1.0], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0], ['E4', 1.0]];[['E3', 1.5], ['F#3', 0.5], ['G3', 1.0], ['E3', 1.0]];0;bach;bwv310
[['D5', 1.0], ['B4', 1.0], ['G4', 1.0], ['A4', 0.5], ['B4', 0.5]];[['A4', 0.5], ['F#4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0], ['F#4', 0.5], ['G4', 0.5]];[['D4', 1.0], ['D4', 1.0], ['C4', 1.5], ['D4', 0.5]];[['F#3', 0.5], ['D3', 0.5], ['G3', 1.0], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5]];1;bach;bwv310
[['C5', 2.0], ['B4', 2.0]];[['G4', 0.5], ['F#4', 0.25], ['E4', 0.25], ['F#4', 1.0], ['G4', 2.0]];[['C4', 0.5], ['D4', 0.25], ['E4', 0.25], ['D4', 1.0], ['D4', 2.0]];[['A3', 1.0], ['D3', 1.0], ['G3', 2.0]];2;bach;bwv310
[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['G4', 1.5], ['F#4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 0.5], ['A4', 0.5]];[['E4', 1.0], ['D4', 0.75], ['C4', 0.25], ['B3', 1.0], ['D4', 1.0]];[['C#3', 1.0], ['D3', 1.0], ['E3', 1.0], ['F#3', 1.0]];3;bach;bwv310
[['B4', 1.0], ['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['A4', 0.5], ['G4', 1.0], ['F#4', 0.5], ['E4', 1.0], ['A3', 0.5], ['D4', 0.5]];[['D4', 1.0], ['D4', 1.5], ['C#4', 0.5], ['D4', 0.5], ['A3', 0.5]];[['G3', 1.0], ['D3', 1.0], ['E3', 1.0], ['F#3', 1.0]];4;bach;bwv310
[['E4', 2.0], ['D4', 2.0]];[['D4', 0.5], ['C#4', 0.25], ['B3', 0.25], ['C#4', 1.0], ['A3', 2.0]];[['B3', 0.5], ['G3', 0.5], ['E3', 0.5], ['A3', 0.25], ['G3', 0.25], ['F#3', 2.0]];[['G3', 0.5], ['E3', 0.5], ['A3', 0.5], ['A2', 0.5], ['D3', 2.0]];5;bach;bwv310
[['G4', 1.0], ['F#4', 1.0], ['G4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['B3', 1.0], ['B3', 1.0], ['B3', 1.0], ['B3', 1.0]];[['E3', 1.5], ['D#3', 0.5], ['E3', 1.0], ['G2', 1.0]];6;bach;bwv310
[['A4', 0.5], ['G4', 0.5], ['F#4', 1.0], ['E4', 2.0]];[['E4', 1.0], ['D#4', 1.0], ['E4', 2.0]];[['C4', 1.0], ['C4', 0.5], ['B3', 0.25], ['A3', 0.25], ['G3', 2.0]];[['A2', 1.0], ['B2', 1.0], ['C3', 2.0]];7;bach;bwv310
[['F#4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0]];[['D#4', 1.0], ['E4', 0.5], ['D#4', 0.5], ['E4', 1.5], ['D#4', 0.5]];[['B3', 1.5], ['A3', 0.5], ['B3', 1.0], ['B3', 0.75], ['A3', 0.25]];[['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5], ['E2', 1.0], ['B2', 1.0]];8;bach;bwv310
[['E4', 4.0]];[['B3', 4.0]];[['G#3', 4.0]];[['E3', 4.0]];9;bach;bwv310
