soprano;alto;tenor;bass;measure;composer;corpus
[['F#4', 1.0]];[['D4', 1.0]];[['B3', 1.0]];[['B2', 1.0]];0;bach;bwv144.6
[['A4', 1.0], ['B4', 1.0], ['A4', 1.0], ['D5', 1.0]];[['D4', 1.0], ['D4', 1.0], ['D4', 1.0], ['D4', 0.5], ['E4', 0.5]];[['A3', 1.0], ['G3', 1.0], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5]];[['F#3', 1.0], ['G3', 1.0], ['D3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5]];1;bach;bwv144.6
[['D5', 1.0], ['C#5', 1.0], ['D5', 1.0], ['D5', 1.0]];[['F#4', 0.5], ['G4', 0.5], ['A4', 1.0], ['A4', 1.0], ['A4', 1.0]];[['A3', 1.0], ['E4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0], ['D3', 1.0]];2;bach;bwv144.6
[['C#5', 1.0], ['B4', 1.0], ['E5', 1.5], ['D5', 0.5]];[['A4', 1.0], ['G4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['E4', 1.0], ['E4', 1.0], ['B3', 1.0], ['B3', 1.0]];[['A3', 1.0], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0]];3;bach;bwv144.6
[['C#5', 1.0], ['D5', 1.0], ['C#5', 2.0]];[['F#4', 2.0], ['F#4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5]];[['A#3', 1.0], ['B3', 2.0], ['A#3', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F#3', 2.0]];4;bach;bwv144.6
[['B4', 3.0]];[['D4', 3.0]];[['F#3', 3.0]];[['B2', 3.0]];5;bach;bwv144.6
[['B4', 1.0]];[['F#4', 1.0]];[['D4', 0.5], ['C#4', 0.5]];[['B3', 0.5], ['A3', 0.5]];6;bach;bwv144.6
[['B4', 1.0], ['B4', 1.0], ['C#5', 1.5], ['B4', 0.5]];[['E4', 1.0], ['D4', 1.0], ['C#4', 1.0], ['D#4', 0.5], ['E#4', 0.5]];[['B3', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 1.0], ['A3', 0.5], ['B3', 0.5]];[['G#3', 0.5], ['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['C#3', 0.5], ['F#3', 0.5], ['G#3', 0.5]];7;bach;bwv144.6
[['C#5', 1.0], ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 1.0], ['E4', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C#4', 1.0], ['B3', 1.0], ['B3', 1.0]];[['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 1.0]];8;bach;bwv144.6
[['A4', 1.0], ['A4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['E4', 1.0], ['E4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['C#4', 1.0], ['C#4', 1.0], ['B3', 1.0], ['A#3', 1.0]];[['A2', 1.0], ['A3', 1.0], ['G#3', 1.0], ['G3', 1.0]];9;bach;bwv144.6
[['D5', 1.0], ['C#5', 1.0], ['B4', 2.0]];[['F#4', 1.0], ['A#4', 1.0], ['B4', 1.0], ['G#4', 1.0]];[['B3', 1.0], ['G4', 1.0], ['F#4', 1.0], ['E#4', 1.0]];[['F#3', 1.0], ['E3', 1.0], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['B2', 0.5]];10;bach;bwv144.6
[['C#5', 3.0]];[['A#4', 3.0]];[['F#4', 3.0]];[['F#3', 3.0]];11;bach;bwv144.6
[['F#4', 0.5], ['G#4', 0.5]];[['C#4', 1.0]];[['A3', 0.5], ['B3', 0.5]];[['F#2', 1.0]];12;bach;bwv144.6
[['A4', 1.0], ['B4', 1.0], ['A4', 1.0], ['D5', 1.0]];[['F#4', 1.0], ['G#4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[['C#4', 1.0], ['D4', 0.5], ['C#4', 0.5], ['C#4', 1.0], ['D4', 1.0]];[['F#3', 1.0], ['E#3', 1.0], ['F#3', 1.0], ['B3', 0.5], ['A3', 0.5]];13;bach;bwv144.6
[['D5', 1.0], ['C#5', 1.0], ['D5', 1.0], ['D5', 1.0]];[['B4', 1.0], ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[['E4', 1.0], ['E4', 1.0], ['F#4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['G#3', 1.0], ['A3', 1.0], ['D3', 1.0], ['B2', 1.0]];14;bach;bwv144.6
[['C#5', 1.0], ['B4', 1.0], ['E5', 1.5], ['D5', 0.5]];[['A4', 1.0], ['G#4', 1.0], ['A#4', 1.5], ['B4', 0.5]];[['E4', 1.0], ['E4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0]];[['A2', 1.0], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5]];15;bach;bwv144.6
[['C#5', 1.0], ['D5', 1.0], ['C#5', 2.0]];[['C#5', 1.0], ['B4', 2.0], ['A#4', 1.0]];[['G4', 0.5], ['F#4', 0.25], ['E4', 0.25], ['D4', 0.5], ['C#4', 0.25], ['B3', 0.25], ['F#4', 0.5], ['C#4', 0.5], ['F#4', 0.5], ['E4', 0.5]];[['A#2', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['F#3', 2.0]];16;bach;bwv144.6
[['B4', 3.0]];[['A4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['D#4', 1.0], ['E4', 1.0], ['D#4', 1.0]];[['B2', 3.0]];17;bach;bwv144.6
