soprano;alto;tenor;bass;measure;composer;corpus
[['E4', 1.0]];[['C4', 0.5], ['D4', 0.5]];[['A3', 1.0]];[['A2', 0.5], ['B2', 0.5]];0;bach;bwv135.6
[['A4', 1.0], ['G4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['E4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['A3', 0.5], ['C4', 0.5], ['B3', 1.0], ['A3', 1.0], ['B3', 0.5], ['C4', 0.5]];[['C3', 0.5], ['D3', 0.5], ['E3', 1.0], ['A3', 1.0], ['G3', 1.0]];1;bach;bwv135.6
[['D4', 2.0], ['E4', 1.0], ['B4', 1.0]];[['A3', 2.0], ['B3', 1.0], ['E4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 1.0], ['B3', 1.0]];[['F3', 2.0], ['E3', 1.0], ['G#3', 1.0]];2;bach;bwv135.6
[['C5', 1.0], ['C5', 1.0], ['B4', 1.0], ['B4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[['A3', 1.5], ['E4', 0.5], ['F4', 0.5], ['D4', 0.5], ['E4', 0.5], ['B3', 0.5]];[['A3', 0.5], ['E3', 0.5], ['F3', 0.5], ['C3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 1.0]];3;bach;bwv135.6
[['A4', 3.0], ['E4', 1.0]];[['E4', 3.0], ['C4', 0.5], ['D4', 0.5]];[['C4', 3.0], ['A3', 1.0]];[['A2', 3.0], ['A2', 0.5], ['B2', 0.5]];4;bach;bwv135.6
[['A4', 1.0], ['G4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['E4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['A3', 0.5], ['C4', 0.5], ['B3', 1.0], ['A3', 1.0], ['B3', 0.5], ['C4', 0.5]];[['C3', 0.5], ['D3', 0.5], ['E3', 1.0], ['A3', 1.0], ['G3', 1.0]];5;bach;bwv135.6
[['D4', 2.0], ['E4', 1.0], ['B4', 1.0]];[['A3', 2.0], ['B3', 1.0], ['E4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 1.0], ['B3', 1.0]];[['F3', 2.0], ['E3', 1.0], ['G#3', 1.0]];6;bach;bwv135.6
[['C5', 1.0], ['C5', 1.0], ['B4', 1.0], ['B4', 1.0]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[['A3', 1.5], ['E4', 0.5], ['F4', 0.5], ['D4', 0.5], ['E4', 0.5], ['B3', 0.5]];[['A3', 0.5], ['E3', 0.5], ['F3', 0.5], ['C3', 0.5], ['D3', 0.5], ['B2', 0.5], ['E3', 1.0]];7;bach;bwv135.6
[['A4', 3.0], ['C5', 1.0]];[['E4', 3.0], ['A4', 0.5], ['G4', 0.5]];[['C4', 3.0], ['E4', 1.0]];[['A2', 3.0], ['A3', 1.0]];8;bach;bwv135.6
[['B4', 0.5], ['A4', 0.5], ['G4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0], ['F4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['A3', 1.0], ['D4', 1.0]];[['D3', 1.0], ['E3', 1.0], ['F3', 0.5], ['E3', 0.5], ['D3', 1.0]];9;bach;bwv135.6
[['C5', 2.0], ['C5', 1.0], ['G4', 1.0]];[['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['G3', 2.0], ['G3', 1.0], ['C4', 1.0]];[['C3', 2.0], ['C3', 1.0], ['C3', 1.0]];10;bach;bwv135.6
[['A4', 1.0], ['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['C4', 1.0], ['B-3', 1.0], ['A3', 1.0], ['A3', 1.0]];[['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['E3', 0.5], ['F3', 0.5], ['G3', 0.5]];11;bach;bwv135.6
[['E4', 3.0], ['C5', 1.0]];[['C#4', 3.0], ['E4', 1.0]];[['A3', 3.0], ['G3', 0.5], ['A3', 0.5]];[['A3', 3.0], ['E3', 0.5], ['F#3', 0.5]];12;bach;bwv135.6
[['B4', 0.5], ['C5', 0.5], ['D5', 1.0], ['C5', 1.0], ['B4', 1.0]];[['D4', 1.0], ['G4', 1.0], ['G4', 0.5], ['D4', 0.5], ['D4', 0.5], ['G4', 0.5]];[['B3', 1.0], ['B3', 1.0], ['B3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.25], ['D4', 0.25]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['G3', 0.5], ['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['E3', 0.5]];13;bach;bwv135.6
[['A4', 2.0], ['B4', 1.0], ['E4', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0], ['B3', 1.0]];[['C3', 0.5], ['A2', 0.5], ['D3', 1.0], ['G2', 1.0], ['G#2', 1.0]];14;bach;bwv135.6
