soprano;alto;tenor;bass;measure;composer;corpus
[['G4', 1.0]];[['D4', 1.0]];[['B3', 0.5], ['A3', 0.5]];[['G2', 0.5], ['A2', 0.5]];0;bach;bwv428
[['D4', 1.0], ['E4', 1.0], ['F#4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['C4', 1.0], ['C4', 1.0], ['D4', 1.0]];[['G3', 1.0], ['G3', 1.0], ['A3', 1.0], ['B3', 1.0]];[['B2', 1.0], ['B-2', 1.0], ['A2', 1.0], ['G2', 1.0]];1;bach;bwv428
[['A4', 1.0], ['B4', 1.0], ['G4', 1.0], ['B4', 0.5], ['C5', 0.5]];[['D4', 1.0], ['D4', 1.0], ['E4', 1.0], ['D4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['C4', 1.0], ['B3', 1.0]];[['F#2', 1.0], ['G2', 1.0], ['C3', 1.0], ['G3', 1.0]];2;bach;bwv428
[['D5', 1.0], ['D5', 1.0], ['B4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['A3', 1.0], ['A3', 1.0], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['D3', 1.0], ['E3', 1.0], ['B2', 1.0]];3;bach;bwv428
[['C5', 2.0], ['B4', 1.0], ['B4', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['B3', 1.0], ['A3', 1.0], ['G3', 1.0], ['B3', 1.0]];[['C3', 1.0], ['D3', 1.0], ['G2', 1.0], ['G3', 1.0]];4;bach;bwv428
[['C5', 1.0], ['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['D4', 1.5], ['E4', 0.5], ['F#4', 1.0], ['G4', 0.5], ['F#4', 0.5]];[['A3', 1.0], ['B3', 1.0], ['B3', 1.0], ['B3', 1.0]];[['F#3', 1.0], ['G3', 1.0], ['D#3', 1.0], ['E3', 0.5], ['F#3', 0.5]];5;bach;bwv428
[['B4', 1.0], ['B4', 0.5], ['A4', 0.5], ['G4', 1.0], ['B4', 0.5], ['C5', 0.5]];[['E4', 1.0], ['D#4', 1.0], ['E4', 1.0], ['E4', 1.0]];[['B3', 1.0], ['B3', 1.0], ['B3', 1.0], ['G3', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 1.0], ['E3', 1.0], ['E3', 1.0]];6;bach;bwv428
[['D5', 1.0], ['D5', 1.0], ['B4', 1.0], ['D5', 1.0]];[['D4', 1.0], ['A4', 1.0], ['G4', 1.0], ['B4', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['D4', 0.5], ['D4', 0.5], ['E4', 0.5], ['F4', 1.0]];[['F3', 1.0], ['F#3', 1.0], ['G3', 1.0], ['G#3', 1.0]];7;bach;bwv428
[['C5', 2.0], ['B4', 1.0], ['B4', 1.0]];[['B4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['A3', 1.0], ['D3', 1.0], ['G3', 1.0], ['G3', 0.5], ['F#3', 0.5]];8;bach;bwv428
[['C5', 1.0], ['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['A4', 0.5]];[['G4', 1.0], ['G4', 1.0], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['D4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['E3', 1.0], ['D3', 1.0], ['C3', 1.0], ['B2', 0.5], ['A2', 0.5]];9;bach;bwv428
[['B4', 1.0], ['B4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['C4', 1.0]];[['G2', 0.5], ['A2', 0.5], ['B2', 1.0], ['C3', 1.0]];10;bach;bwv428
[['A4', 1.0]];[['E4', 0.5], ['F#4', 0.5]];[['C4', 1.0]];[['A3', 1.0]];11;bach;bwv428
[['B4', 1.0], ['B4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['F#4', 0.5], ['E4', 0.25], ['F#4', 0.25], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.5], ['D4', 0.5]];[['B3', 1.0], ['B3', 1.5], ['A3', 0.5], ['A3', 0.5], ['B3', 0.25], ['C4', 0.25]];[['G3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 1.0], ['D3', 1.0]];12;bach;bwv428
[['G4', 0.5], ['F#4', 0.5], ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['D4', 1.0], ['D4', 0.5], ['C#4', 0.5], ['A3', 1.0], ['D4', 1.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 1.0], ['F#3', 1.0], ['F#3', 0.5], ['A3', 0.5]];[['G2', 1.0], ['A2', 1.0], ['D3', 1.0], ['D3', 0.5], ['C3', 0.5]];13;bach;bwv428
[['G4', 1.0], ['A4', 1.0], ['B4', 1.0], ['A4', 0.5], ['B4', 0.5]];[['D4', 1.0], ['D4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['A3', 1.0], ['G3', 1.0], ['E4', 0.5], ['D4', 0.5]];[['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5], ['E2', 0.5], ['D3', 0.5], ['C3', 0.5], ['B2', 0.5]];14;bach;bwv428
[['C5', 1.0], ['B4', 1.0], ['A4', 2.0]];[['F#4', 0.5], ['A4', 1.0], ['G4', 0.5], ['G4', 1.0], ['F#4', 1.0]];[['C4', 0.5], ['D4', 0.5], ['D4', 1.0], ['E4', 1.0], ['D4', 0.5], ['C4', 0.5]];[['A2', 0.5], ['F#2', 0.5], ['G2', 0.5], ['B2', 0.5], ['C3', 0.5], ['A2', 0.5], ['D3', 0.5], ['D2', 0.5]];15;bach;bwv428
[['G4', 3.0]];[['D4', 3.0]];[['B3', 3.0]];[['G2', 3.0]];16;bach;bwv428
