soprano;alto;tenor;bass;measure;composer;corpus
[['G4', 1.0]];[['D4', 1.0]];[['B3', 1.0]];[['G3', 0.5], ['F#3', 0.5]];0;bach;bwv248.12-2
[['G4', 1.0], ['A4', 1.0], ['B4', 0.5], ['C#5', 0.5], ['D5', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['B3', 0.5], ['C4', 1.0], ['D4', 0.5], ['B3', 0.5], ['A3', 0.5], ['A3', 1.0]];[['E3', 1.0], ['D3', 1.0], ['G3', 1.0], ['F#3', 0.5], ['G3', 0.5]];1;bach;bwv248.12-2
[['D5', 1.0], ['C#5', 1.0], ['D5', 1.0], ['B4', 1.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0], ['F#4', 1.0]];[['A3', 1.0], ['A3', 1.0], ['A3', 1.0], ['B3', 0.5], ['A3', 0.5]];[['A3', 1.0], ['A2', 1.0], ['D3', 1.0], ['D#3', 1.0]];2;bach;bwv248.12-2
[['C5', 1.0], ['B4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['E4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['G4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 0.5], ['D4', 1.0], ['D4', 1.0]];[['E3', 0.5], ['F#3', 0.5], ['G3', 0.5], ['C3', 0.5], ['C3', 0.5], ['B2', 0.5], ['A2', 0.5], ['G2', 0.5]];3;bach;bwv248.12-2
[['A4', 2.0], ['G4', 1.0]];[['G4', 1.0], ['F#4', 1.0], ['D4', 1.0]];[['D4', 1.5], ['C4', 0.5], ['B3', 1.0]];[['D3', 1.0], ['D2', 1.0], ['G2', 1.0]];4;bach;bwv248.12-2
[['A4', 1.0]];[['F#4', 0.5], ['G4', 0.5]];[['D4', 0.5], ['E4', 0.5]];[['D3', 1.0]];5;bach;bwv248.12-2
[['A4', 1.0], ['B4', 1.0], ['C5', 1.0], ['C5', 1.0]];[['A4', 1.5], ['G#4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['A4', 1.0]];[['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['A3', 1.0], ['D#3', 1.0]];6;bach;bwv248.12-2
[['B4', 0.5], ['A4', 0.5], ['B4', 1.0], ['A4', 1.0], ['B4', 1.0]];[['A4', 1.0], ['G#4', 1.0], ['E4', 1.0], ['E4', 0.5], ['D#4', 0.5]];[['B3', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0], ['G3', 0.5], ['A3', 0.5]];[['E3', 1.0], ['E2', 1.0], ['A2', 1.0], ['E3', 0.5], ['F#3', 0.5]];7;bach;bwv248.12-2
[['B4', 1.0], ['B4', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 1.0]];[['E4', 1.0], ['E4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 0.5], ['F#4', 0.5]];[['B3', 0.5], ['C4', 0.5], ['D4', 0.5], ['E4', 0.5], ['C4', 1.0], ['C#4', 1.0]];[['G3', 1.0], ['G#3', 1.0], ['A3', 1.0], ['A#3', 1.0]];8;bach;bwv248.12-2
[['E5', 1.0], ['D#5', 1.0], ['E5', 1.0]];[['F#4', 0.5], ['G4', 0.5], ['A4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['B3', 1.0], ['B3', 1.0]];[['B3', 1.0], ['B2', 1.0], ['E3', 1.0]];9;bach;bwv248.12-2
[['F#5', 1.0]];[['A4', 1.0]];[['D4', 1.0]];[['D3', 0.5], ['C3', 0.5]];10;bach;bwv248.12-2
[['G5', 1.0], ['B4', 1.0], ['C5', 1.0], ['B4', 1.0]];[['G4', 0.5], ['A4', 0.5], ['B4', 1.5], ['A4', 1.0], ['G4', 0.5]];[['D4', 1.0], ['G4', 1.0], ['G3', 0.5], ['A3', 0.5], ['B3', 1.0]];[['B2', 0.5], ['A2', 0.5], ['G2', 0.5], ['F#2', 0.5], ['E2', 0.5], ['F#2', 0.5], ['G2', 0.5], ['E2', 0.5]];11;bach;bwv248.12-2
[['A4', 2.0], ['A4', 1.0], ['D5', 1.0]];[['G4', 2.0], ['F#4', 1.0], ['G4', 0.5], ['F#4', 0.5]];[['E4', 0.5], ['D4', 0.5], ['E4', 0.5], ['C#4', 0.5], ['D4', 1.0], ['D4', 1.0]];[['C#3', 0.5], ['B2', 0.5], ['C#3', 0.5], ['A2', 0.5], ['D3', 1.0], ['B2', 1.0]];12;bach;bwv248.12-2
[['E5', 1.0], ['D5', 1.0], ['C5', 1.0], ['B4', 0.5], ['C5', 0.5]];[['E4', 1.0], ['F#4', 1.0], ['G4', 0.5], ['A4', 0.5], ['D4', 1.0]];[['D4', 0.5], ['C4', 0.5], ['C4', 0.5], ['B3', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['C3', 1.0], ['D3', 1.0], ['E3', 0.5], ['F#3', 0.5], ['G3', 1.0]];13;bach;bwv248.12-2
[['A4', 2.0], ['G4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['G3', 0.5], ['F#3', 0.25], ['E3', 0.25], ['F#3', 1.0], ['B3', 1.0]];[['C3', 1.0], ['D3', 1.0], ['G2', 1.0]];14;bach;bwv248.12-2
