soprano;alto;tenor;bass;measure;composer;corpus
[['B-4', 1.0]];[['F4', 1.0]];[['D4', 1.0]];[['B-2', 0.5], ['A2', 0.5]];0;bach;bwv326
[['B-4', 2.0], ['A4', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['G2', 0.5], ['A2', 0.5], ['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['B-2', 0.5]];1;bach;bwv326
[['G4', 2.0], ['F4', 1.0]];[['E-4', 2.0], ['D4', 1.0]];[['B-3', 2.0], ['B-3', 1.0]];[['E-3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B-3', 0.5], ['A3', 0.5]];2;bach;bwv326
[['B-4', 1.0], ['C5', 2.0]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 1.0]];[['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5], ['E-3', 0.5], ['F3', 0.5]];3;bach;bwv326
[['D5', 2.0], ['D5', 1.0]];[['F4', 2.0], ['A4', 1.0]];[['B-3', 2.0], ['A3', 1.0]];[['B-2', 2.0], ['F#2', 1.0]];4;bach;bwv326
[['D5', 2.0], ['D5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['B-3', 2.0], ['B-3', 1.0]];[['G2', 0.5], ['D3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5]];5;bach;bwv326
[['C5', 2.0], ['D5', 1.0]];[['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['B-3', 1.0], ['A3', 1.0], ['B-3', 1.0]];[['E-3', 0.5], ['C3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5], ['C3', 0.5]];6;bach;bwv326
[['E-5', 1.0], ['D5', 2.0]];[['F4', 1.0], ['F4', 2.0]];[['C4', 1.0], ['B-3', 2.0]];[['B-2', 0.5], ['A2', 0.5], ['B-2', 0.5], ['C3', 0.5], ['D3', 0.5], ['E-3', 0.5]];7;bach;bwv326
[['C5', 2.0]];[['F4', 2.0]];[['A3', 2.0]];[['F3', 2.0]];8;bach;bwv326
[['B-4', 1.0]];[['G4', 1.0]];[['D4', 1.0]];[['G3', 1.0]];9;bach;bwv326
[['C5', 2.0], ['D5', 1.0]];[['F4', 2.0], ['F4', 0.5], ['B-4', 0.5]];[['C4', 2.0], ['B-3', 1.0]];[['A3', 0.5], ['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B-3', 0.5], ['G3', 0.5]];10;bach;bwv326
[['C5', 2.0], ['B-4', 1.0]];[['G4', 1.0], ['F4', 0.5], ['E-4', 0.5], ['D4', 1.0]];[['B-3', 1.0], ['A3', 1.0], ['B-3', 1.0]];[['E-3', 0.5], ['D3', 0.5], ['E-3', 0.5], ['F3', 0.5], ['G3', 0.5], ['D3', 0.5]];11;bach;bwv326
[['G4', 1.0], ['A4', 2.0]];[['G4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['B-3', 0.5], ['D4', 0.5], ['E-4', 1.0], ['D4', 1.0]];[['E-3', 0.5], ['B-2', 0.5], ['C3', 0.5], ['A2', 0.5], ['D3', 0.5], ['D2', 0.5]];12;bach;bwv326
[['B-4', 2.0], ['F5', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['D4', 2.0], ['C4', 1.0]];[['G2', 2.0], ['A3', 1.0]];13;bach;bwv326
[['D5', 2.0], ['B-4', 1.0]];[['F4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['B-3', 0.5], ['C4', 0.5], ['B-3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5]];14;bach;bwv326
[['C5', 2.0], ['E-5', 1.0]];[['F4', 2.0], ['F4', 1.0]];[['A3', 2.0], ['A3', 1.0]];[['E-3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E-3', 0.5], ['D3', 0.5], ['C3', 0.5]];15;bach;bwv326
[['D5', 1.0], ['C5', 2.0]];[['F4', 1.0], ['G4', 1.0], ['F4', 0.5], ['E-4', 0.5]];[['B-3', 2.0], ['A3', 1.0]];[['B-2', 0.5], ['D3', 0.5], ['E-3', 0.5], ['C3', 0.5], ['F3', 0.5], ['F2', 0.5]];16;bach;bwv326
[['B-4', 2.0]];[['D4', 2.0]];[['F3', 2.0]];[['B-2', 2.0]];17;bach;bwv326
