violin;soprano;alto;tenor;bass;measure;composer;corpus
[['G5', 0.5], ['F5', 0.5]];[['C5', 1.0]];[['E4', 1.0]];[['G3', 1.0]];[['C3', 1.0]];0;bach;bwv31.9
[['E5', 1.0], ['D5', 0.5], ['C5', 0.5], ['G5', 2.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['C4', 1.0], ['D4', 1.0], ['G3', 0.5], ['A3', 0.5]];[['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['G3', 0.5], ['F3', 0.5], ['E3', 1.0]];1;bach;bwv31.9
[['G5', 2.0], ['G5', 0.5], ['F5', 0.5], ['E5', 0.5], ['D5', 0.5]];[['D5', 1.0], ['E5', 1.0], ['C5', 1.0], ['E5', 0.5], ['F5', 0.5]];[['F4', 1.0], ['E4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['C4', 1.0], ['C4', 0.5], ['D4', 0.5]];[['D3', 1.0], ['C3', 1.0], ['F3', 1.0], ['C3', 1.0]];2;bach;bwv31.9
[['C5', 0.5], ['C6', 1.0], ['B5', 0.5], ['C6', 0.5], ['D6', 0.5], ['E6', 1.0]];[['G5', 1.0], ['G5', 1.0], ['E5', 0.5], ['F5', 0.5], ['G5', 1.0]];[['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0], ['B3', 1.0]];[['E4', 0.5], ['F4', 0.5], ['G4', 0.5], ['G3', 0.5], ['C4', 1.0], ['G3', 1.0]];[['C4', 1.0], ['G3', 1.0], ['A3', 1.0], ['E3', 1.0]];3;bach;bwv31.9
[['E6', 0.5], ['A5', 0.5], ['D6', 1.0], ['D6', 0.5], ['C6', 0.5], ['G5', 0.5], ['F5', 0.5]];[['F5', 2.0], ['E5', 1.0], ['C5', 1.0]];[['C4', 1.0], ['G4', 1.0], ['G4', 1.0], ['E4', 1.0]];[['A3', 0.5], ['F3', 0.5], ['G3', 1.0], ['C3', 1.0], ['G3', 1.0]];[['A2', 1.0], ['B2', 1.0], ['C3', 1.0], ['C3', 1.0]];4;bach;bwv31.9
[['E5', 1.0], ['D5', 0.5], ['C5', 0.5], ['G5', 2.0]];[['G4', 1.0], ['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['E4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['C4', 1.0], ['D4', 1.0], ['G3', 0.5], ['A3', 0.5]];[['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['G3', 0.5], ['F3', 0.5], ['E3', 1.0]];5;bach;bwv31.9
[['G5', 2.0], ['G5', 0.5], ['F5', 0.5], ['E5', 0.5], ['D5', 0.5]];[['D5', 1.0], ['E5', 1.0], ['C5', 1.0], ['E5', 0.5], ['F5', 0.5]];[['F4', 1.0], ['E4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['C4', 1.0], ['C4', 0.5], ['D4', 0.5]];[['D3', 1.0], ['C3', 1.0], ['F3', 1.0], ['C3', 1.0]];6;bach;bwv31.9
[['C5', 0.5], ['C6', 1.0], ['B5', 0.5], ['C6', 0.5], ['D6', 0.5], ['E6', 1.0]];[['G5', 1.0], ['G5', 1.0], ['E5', 0.5], ['F5', 0.5], ['G5', 1.0]];[['G4', 0.5], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0], ['B3', 1.0]];[['E4', 0.5], ['F4', 0.5], ['G4', 0.5], ['G3', 0.5], ['C4', 1.0], ['G3', 1.0]];[['C4', 1.0], ['G3', 1.0], ['A3', 1.0], ['E3', 1.0]];7;bach;bwv31.9
[['E6', 0.5], ['A5', 0.5], ['D6', 1.0], ['D6', 0.5], ['C6', 0.5], ['C6', 0.5], ['B5', 0.5]];[['F5', 2.0], ['E5', 1.0], ['E5', 1.0]];[['C4', 1.0], ['G4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['A3', 0.5], ['F3', 0.5], ['G3', 1.0], ['C3', 1.0], ['C4', 1.0]];[['A2', 1.0], ['B2', 1.0], ['C3', 1.0], ['C3', 1.0]];8;bach;bwv31.9
[['A5', 0.5], ['B5', 0.5], ['C6', 1.0], ['C6', 0.5], ['B5', 0.5], ['C6', 1.0]];[['F5', 1.0], ['E5', 1.0], ['D5', 1.0], ['C5', 0.5], ['D5', 0.5]];[['D4', 1.0], ['C4', 1.0], ['G4', 1.5], ['F4', 0.5]];[['C4', 0.5], ['B3', 0.25], ['A3', 0.25], ['G3', 1.0], ['D4', 0.5], ['E4', 0.25], ['F4', 0.25], ['E4', 0.5], ['D4', 0.5]];[['D3', 1.0], ['E3', 0.5], ['F3', 0.5], ['G3', 1.0], ['A3', 0.5], ['B3', 0.5]];9;bach;bwv31.9
[['G5', 0.5], ['A5', 0.5], ['B-5', 1.0], ['B-5', 0.5], ['A5', 0.5], ['G5', 0.5], ['A5', 0.25], ['F5', 0.25]];[['E5', 1.0], ['E5', 0.5], ['D5', 0.5], ['C5', 1.0], ['D5', 1.0]];[['E4', 0.5], ['F4', 0.5], ['G4', 1.0], ['G4', 0.5], ['F4', 0.5], ['B3', 1.0]];[['C4', 1.0], ['C4', 1.0], ['C4', 1.0], ['F3', 1.0]];[['C4', 1.0], ['C3', 1.0], ['F3', 1.0], ['D3', 1.0]];10;bach;bwv31.9
[['C6', 0.5], ['B5', 0.5], ['A5', 0.5], ['G5', 0.5], ['D6', 2.0]];[['E5', 1.0], ['E5', 1.0], ['A4', 1.0], ['B4', 1.0]];[['C4', 0.5], ['D4', 0.5], ['E4', 0.5], ['A3', 0.5], ['F#4', 1.0], ['G4', 1.0]];[['G3', 1.0], ['C4', 0.5], ['D4', 0.25], ['E4', 0.25], ['D4', 1.5], ['C4', 0.25], ['B3', 0.25]];[['C3', 1.0], ['C3', 1.0], ['C4', 1.0], ['B3', 1.0]];11;bach;bwv31.9
[['D6', 1.5], ['C6', 0.5], ['B5', 0.5], ['A5', 0.5], ['G5', 1.0]];[['C5', 0.5], ['B4', 0.5], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['A4', 0.5], ['G4', 0.5], ['F#4', 1.0], ['G4', 1.0], ['D4', 1.0]];[['A3', 0.5], ['B3', 0.25], ['C4', 0.25], ['D4', 0.5], ['D4', 0.5], ['D4', 1.0], ['B3', 0.5], ['A3', 0.5]];[['F#3', 0.5], ['G3', 0.5], ['D3', 1.0], ['G2', 1.0], ['G3', 0.5], ['F3', 0.5]];12;bach;bwv31.9
[['G5', 2.0], ['G5', 2.0]];[['C5', 1.0], ['D5', 1.0], ['E5', 1.0], ['D5', 0.5], ['E5', 0.5]];[['G4', 1.5], ['F4', 0.5], ['E4', 0.5], ['F4', 0.5], ['G4', 1.0]];[['G3', 0.5], ['A3', 0.5], ['B3', 1.0], ['C4', 1.0], ['D4', 0.5], ['G3', 0.5]];[['E3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C3', 0.5], ['D3', 0.5], ['C3', 0.5], ['B2', 0.5]];13;bach;bwv31.9
[['A5', 0.5], ['B5', 0.5], ['C6', 2.0], ['B5', 1.0]];[['F5', 1.0], ['E5', 0.5], ['D5', 0.5], ['D5', 2.0]];[['F4', 1.0], ['G4', 0.5], ['A4', 0.25], ['B-4', 0.25], ['A4', 1.0], ['G4', 1.0]];[['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['F4', 0.5], ['E4', 0.5], ['D4', 0.5], ['E4', 0.25], ['F4', 0.25]];[['A2', 1.0], ['G2', 1.0], ['F2', 1.0], ['G2', 1.0]];14;bach;bwv31.9
[['C6', 3.0]];[['C5', 3.0]];[['G4', 3.0]];[['E4', 3.0]];[['C3', 3.0]];15;bach;bwv31.9
