soprano;alto;tenor;bass;measure;composer;corpus
[['B-4', 1.0]];[['F4', 1.0]];[['D4', 1.0]];[['B-2', 1.0]];0;bach;bwv48.3
[['A4', 1.0], ['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['F4', 1.0], ['E4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['C4', 1.0], ['C4', 0.5], ['B-3', 0.5], ['A3', 1.0], ['A3', 1.0]];[['F3', 1.0], ['C3', 1.0], ['F2', 1.0], ['E-3', 1.0]];1;bach;bwv48.3
[['G4', 1.0], ['A4', 1.0], ['B-4', 1.0], ['C5', 1.0]];[['F4', 1.0], ['F#4', 1.0], ['G4', 1.0], ['A4', 1.0]];[['B-3', 1.0], ['E-4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['D-3', 1.0], ['C3', 1.0], ['G3', 1.0], ['F#3', 1.0]];2;bach;bwv48.3
[['B-4', 1.0], ['A4', 1.0], ['G4', 1.0], ['A4', 0.5], ['B-4', 0.5]];[['G4', 1.0], ['F4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['E4', 1.0], ['F4', 1.0]];[['G3', 1.0], ['D4', 0.5], ['C4', 0.5], ['B-3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 0.5]];3;bach;bwv48.3
[['G4', 2.0], ['F4', 1.0], ('P', 1.0)];[['C4', 2.0], ['C4', 1.0], ('P', 1.0)];[['F4', 0.5], ['E4', 0.25], ['D4', 0.25], ['E4', 1.0], ['A3', 1.0], ('P', 1.0)];[['C4', 1.0], ['C3', 1.0], ['F3', 1.0], ('P', 1.0)];4;bach;bwv48.3
[['B-4', 1.0]];[['D4', 1.0]];[['F3', 1.0]];[['D3', 1.0]];5;bach;bwv48.3
[['A4', 1.0], ['B-4', 1.0], ['C5', 1.0], ['C5', 1.0]];[['E-4', 1.0], ['F4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['A3', 1.0], ['A3', 1.0]];[['C3', 1.0], ['B-2', 1.0], ['F3', 1.0], ['F3', 1.0]];6;bach;bwv48.3
[['D5', 0.5], ['C5', 0.5], ['B-4', 1.0], ['C5', 1.0], ['F4', 1.0]];[['F4', 0.5], ['E-4', 0.5], ['D-4', 1.0], ['C4', 1.0], ['F4', 1.0]];[['A-3', 1.0], ['G3', 1.0], ['E-4', 1.0], ['E-4', 1.0]];[['B-2', 1.0], ['E-3', 1.0], ['A-2', 1.0], ['A2', 1.0]];7;bach;bwv48.3
[['G4', 1.0], ['A4', 1.0], ['B-4', 0.5], ['C5', 0.5], ['D5', 1.0]];[['F4', 1.0], ['E4', 1.0], ['D4', 1.5], ['G4', 0.5]];[['D4', 1.0], ['G4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['B2', 1.0], ['C#3', 1.0], ['D3', 1.5], ['E3', 0.5]];8;bach;bwv48.3
[['C5', 1.0], ['B-4', 1.0], ['C5', 2.0]];[['A4', 1.0], ['B-4', 2.0], ['A-4', 1.0]];[['E-4', 1.0], ['D4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['F#3', 1.0], ['G3', 0.5], ['F3', 0.5], ['E3', 1.0], ['F3', 0.5], ['E-3', 0.5]];9;bach;bwv48.3
[['B-4', 4.0]];[['A-4', 1.0], ['G-4', 2.0], ['F4', 0.5], ['E-4', 0.5]];[['F4', 2.0], ['E-4', 2.0]];[['D3', 1.0], ['E-3', 0.5], ['F3', 0.5], ['G-3', 0.5], ['A-3', 0.5], ['B-3', 1.0]];10;bach;bwv48.3
[['B-4', 3.0]];[['F4', 3.0]];[['E-4', 1.0], ['D4', 0.5], ['C4', 0.5], ['D4', 1.0]];[['B-2', 3.0]];11;bach;bwv48.3
