soprano;alto;tenor;bass;measure;composer;corpus
[['B-4', 1.0]];[['F4', 1.0]];[['D4', 1.0]];[['B-3', 1.0]];0;bach;bwv194.12
[['B-4', 2.0], ['A4', 1.0]];[['G4', 2.0], ['F4', 1.0]];[['D4', 2.0], ['D4', 0.5], ['C4', 0.5]];[['G3', 2.0], ['D3', 1.0]];1;bach;bwv194.12
[['G4', 1.0], ['A4', 1.0], ['B-4', 1.0]];[['E-4', 1.0], ['F4', 1.0], ['F4', 1.0]];[['B-3', 1.0], ['C4', 1.0], ['B-3', 1.0]];[['E-3', 2.0], ['D3', 1.0]];2;bach;bwv194.12
[['C5', 3.0]];[['G4', 1.0], ['F4', 2.0]];[['B-3', 2.0], ['A3', 1.0]];[['E-3', 1.0], ['F3', 2.0]];3;bach;bwv194.12
[['B-4', 2.0], ['B-4', 1.0]];[['F4', 2.0], ['F4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['B-2', 2.0], ['B-3', 1.0]];4;bach;bwv194.12
[['B-4', 2.0], ['C5', 1.0]];[['F4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['C4', 1.0]];[['D3', 2.0], ['E3', 1.0]];5;bach;bwv194.12
[['A4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['F4', 2.0], ['F4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['F3', 1.0], ['G3', 1.0], ['A3', 1.0]];6;bach;bwv194.12
[['B-4', 3.0]];[['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['E4', 1.0]];[['D4', 1.0], ['C4', 1.0], ['B-3', 1.0]];[['G3', 3.0]];7;bach;bwv194.12
[['A4', 2.0]];[['F4', 2.0]];[['C4', 2.0]];[['F3', 2.0]];8;bach;bwv194.12
[['A4', 1.0]];[['F#4', 1.0]];[['D4', 1.0]];[['D3', 1.0]];9;bach;bwv194.12
[['B-4', 2.0], ['B-4', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['E-4', 1.0]];[['G3', 2.0], ['E-3', 1.0]];10;bach;bwv194.12
[['C5', 2.0], ['D5', 1.0]];[['E-4', 2.0], ['D4', 1.0]];[['A3', 2.0], ['B-3', 1.0]];[['C3', 2.0], ['B-2', 1.0]];11;bach;bwv194.12
[['C5', 3.0]];[['E4', 1.0], ['F4', 0.5], ['E4', 0.5], ['G4', 0.5], ['F4', 0.5]];[['B-3', 1.0], ['A3', 0.5], ['G3', 0.5], ['B-3', 0.5], ['A3', 0.5]];[['C3', 3.0]];12;bach;bwv194.12
[['C5', 2.0], ['D5', 1.0]];[['F4', 2.0], ['A4', 1.0]];[['A3', 2.0], ['D4', 1.0]];[['F3', 2.0], ['F#3', 1.0]];13;bach;bwv194.12
[['E-5', 2.0], ['D5', 1.0]];[['B-4', 1.0], ['C5', 1.0], ['F4', 1.0]];[['D4', 1.0], ['C4', 1.0], ['B-3', 1.0]];[['G3', 1.0], ['A3', 1.0], ['B-3', 1.0]];14;bach;bwv194.12
[['C5', 1.0], ['D5', 0.5], ['C5', 0.5], ['B-4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['D4', 0.5], ['E-4', 0.5]];[['B-3', 1.0], ['A3', 1.0], ['B-3', 1.0]];[['E3', 1.0], ['F#3', 1.0], ['G3', 1.0]];15;bach;bwv194.12
[['B-4', 0.5], ['C5', 0.5], ['C5', 1.5], ['B-4', 0.5]];[['F4', 1.0], ['G4', 1.0], ['F4', 1.0]];[['B-3', 2.0], ['A3', 1.0]];[['D3', 1.0], ['E-3', 1.0], ['F3', 1.0]];16;bach;bwv194.12
[['B-4', 3.0]];[['F4', 3.0]];[['D4', 3.0]];[['B-2', 3.0]];17;bach;bwv194.12
