soprano;alto;tenor;bass;measure;composer;corpus
[['G4', 2.0]];[['E4', 2.0]];[['B3', 2.0]];[['E3', 2.0]];0;bach;bwv119.9
[['A4', 2.0], ['C5', 2.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 2.0]];[['A3', 2.0], ['A3', 2.0]];[['F3', 2.0], ['F#3', 2.0]];1;bach;bwv119.9
[['B4', 2.0], ['A4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['A3', 1.0], ['G3', 1.0], ['A3', 2.0]];[['G3', 2.0], ['G3', 1.0], ['F#3', 1.0]];2;bach;bwv119.9
[['C5', 2.0], ['A4', 2.0]];[['G4', 1.0], ['E4', 1.0], ['D4', 2.0]];[['G3', 2.0], ['F#3', 2.0]];[['E3', 1.0], ['C3', 1.0], ['D3', 2.0]];3;bach;bwv119.9
[['G4', 2.0], ['D5', 2.0]];[['D4', 2.0], ['G4', 2.0]];[['B3', 2.0], ['B3', 2.0]];[['G2', 2.0], ['G3', 2.0]];4;bach;bwv119.9
[['D5', 2.0], ['D5', 2.0]];[['A4', 2.0], ['A4', 2.0]];[['A3', 1.0], ['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];[['F#3', 2.0], ['F3', 2.0]];5;bach;bwv119.9
[['E5', 3.0], ['C5', 1.0]];[['G#4', 3.0], ['E4', 1.0]];[['B3', 3.0], ['A3', 1.0]];[['E3', 3.0], ['A3', 1.0]];6;bach;bwv119.9
[['D5', 2.0], ['C5', 2.0]];[['F4', 2.0], ['F#4', 2.0]];[['A3', 2.0], ['A3', 2.0]];[['D3', 2.0], ['D#3', 2.0]];7;bach;bwv119.9
[['B4', 2.0], ('P', 2.0)];[['G#4', 2.0], ('P', 2.0)];[['E4', 2.0], ('P', 2.0)];[['E3', 2.0], ('P', 2.0)];8;bach;bwv119.9
[('P', 2.0), ['C5', 2.0]];[('P', 2.0), ['A4', 2.0]];[('P', 2.0), ['E4', 2.0]];[('P', 2.0), ['A3', 2.0]];9;bach;bwv119.9
[['C5', 2.0], ['C5', 2.0]];[['G4', 2.0], ['A4', 1.0], ['G4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['C4', 2.0]];[['E3', 2.0], ['F3', 1.0], ['E3', 1.0]];10;bach;bwv119.9
[['B4', 2.0], ['A4', 2.0]];[['F4', 2.0], ['F4', 2.0]];[['D4', 2.0], ['C4', 1.0], ['D4', 1.0]];[['D3', 1.0], ['E3', 1.0], ['F3', 2.0]];11;bach;bwv119.9
[['C5', 2.0], ['A4', 1.5], ['G4', 0.5]];[['G4', 3.0], ['F4', 1.0]];[['E4', 2.0], ['C4', 2.0]];[['C3', 2.0], ['F2', 2.0]];12;bach;bwv119.9
[['G4', 2.0], ['D5', 2.0]];[['E4', 2.0], ['F#4', 2.0]];[['C4', 2.0], ['A3', 2.0]];[['C3', 2.0], ['C4', 2.0]];13;bach;bwv119.9
[['D5', 2.0], ['D5', 2.0]];[['G4', 3.0], ['B4', 1.0]];[['B3', 1.0], ['C4', 1.0], ['D4', 1.0], ['G4', 1.0]];[['B3', 1.0], ['A3', 1.0], ['B3', 1.0], ['G3', 1.0]];14;bach;bwv119.9
[['E5', 3.0], ['C5', 1.0]];[['C5', 3.0], ['E4', 1.0]];[['G4', 3.0], ['A4', 1.0]];[['C4', 3.0], ['A3', 1.0]];15;bach;bwv119.9
[['D5', 2.0], ['C5', 1.5], ['B4', 0.5]];[['A4', 2.0], ['F#4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['F#3', 2.0], ['D3', 2.0]];16;bach;bwv119.9
[['B4', 4.0]];[['G4', 4.0]];[['D4', 4.0]];[['G3', 4.0]];17;bach;bwv119.9
[['E5', 1.5], ['D5', 0.5], ['C5', 1.5], ['B4', 0.5]];[['G4', 1.5], ['F4', 0.5], ['E4', 1.5], ['D4', 0.5]];[('P', 1.0), ['E4', 1.5], ['D4', 0.5], ['C4', 1.0]];[('P', 1.0), ['C4', 1.5], ['B3', 0.5], ['A3', 1.0]];18;bach;bwv119.9
[['A4', 2.0], ['B4', 2.0]];[['C4', 2.0], ['D4', 0.5], ['E4', 0.5], ['F4', 1.0]];[['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F3', 1.0], ['G3', 1.0]];[['A3', 0.5], ['G3', 0.5], ['F3', 0.5], ['E3', 0.5], ['D3', 1.0], ['G3', 1.0]];19;bach;bwv119.9
[['C5', 8.0]];[['E4', 8.0]];[['G3', 8.0]];[['C3', 8.0]];20;bach;bwv119.9
