soprano;alto;tenor;bass;measure;composer;corpus
[['C5', 1.0], ['C5', 1.0], ['C5', 1.0]];[['E4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['G3', 1.0], ['C4', 1.0], ['E4', 1.0]];[['C3', 1.0], ['E3', 1.0], ['C3', 1.0]];0;bach;bwv153.9
[['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['F4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['F3', 2.0], ['E3', 1.0]];1;bach;bwv153.9
[['D5', 1.0], ['C5', 1.0], ['B4', 1.0]];[['A4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['D4', 1.0]];[['F#3', 2.0], ['G3', 1.0]];2;bach;bwv153.9
[['A4', 3.0]];[['F#4', 3.0]];[['D4', 3.0]];[['D3', 3.0]];3;bach;bwv153.9
[['A4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['F#4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['D4', 1.0], ['D4', 1.0], ['E4', 1.0]];[['D3', 1.0], ['G3', 1.0], ['E3', 1.0]];4;bach;bwv153.9
[['D5', 2.0], ['C5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['D4', 2.0], ['E4', 1.0]];[['B2', 2.0], ['C3', 1.0]];5;bach;bwv153.9
[['B4', 1.0], ['A4', 2.0]];[['G4', 1.0], ['G4', 1.0], ['F#4', 1.0]];[['D4', 1.0], ['D4', 1.5], ['C4', 0.5]];[['G3', 1.0], ['D3', 2.0]];6;bach;bwv153.9
[['G4', 3.0]];[['G4', 3.0]];[['B3', 3.0]];[['G2', 3.0]];7;bach;bwv153.9
[['E5', 1.0], ['E5', 1.0], ['E5', 1.0]];[['G4', 1.0], ['E4', 1.0], ['G#4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['E4', 1.0]];[['C4', 1.0], ['G#3', 1.0], ['E3', 1.0]];8;bach;bwv153.9
[['C5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['A4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['E4', 1.0], ['F4', 1.0], ['G4', 1.0]];[['A3', 2.0], ['A2', 1.0]];9;bach;bwv153.9
[['F5', 1.0], ['E5', 2.0]];[['D5', 1.0], ['C5', 2.0]];[['F4', 1.0], ['G4', 1.0], ['C4', 1.0]];[['D3', 1.0], ['E3', 1.0], ['F3', 1.0]];10;bach;bwv153.9
[['D5', 3.0]];[['G4', 3.0]];[['B3', 3.0]];[['G3', 3.0]];11;bach;bwv153.9
[['C5', 1.0], ['D5', 1.0], ['E5', 1.0]];[['G4', 1.0], ['B4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['F3', 1.0], ['G3', 1.0]];[['E3', 1.0], ['D3', 1.0], ['C3', 1.0]];12;bach;bwv153.9
[['D5', 2.0], ['C5', 1.0]];[['C5', 1.0], ['B4', 1.0], ['E4', 1.0]];[['A3', 1.0], ['B3', 1.0], ['C4', 1.0]];[['F3', 1.0], ['G3', 1.0], ['A3', 1.0]];13;bach;bwv153.9
[['C5', 1.0], ['B4', 2.0]];[['A4', 1.0], ['G4', 2.0]];[['D4', 1.0], ['D4', 2.0]];[['F#3', 1.0], ['G3', 1.0], ['G2', 1.0]];14;bach;bwv153.9
[['C5', 3.0]];[['G4', 3.0]];[['E4', 3.0]];[['C3', 3.0]];15;bach;bwv153.9
