horn__;horn__;horn__;timpani;soprano;alto;tenor;bass;measure;composer;corpus
[['G5', 2.0], ['G5', 1.0]];[['E5', 2.0], ['D5', 1.0]];[['C5', 1.0], ['G4', 1.0], ['G4', 1.0]];[['C3', 1.0], ['C3', 1.0], ['G2', 1.0]];[['C5', 2.0], ['D5', 1.0]];[['G4', 2.0], ['G4', 1.0]];[['E4', 2.0], ['B3', 1.0]];[['C4', 2.0], ['G3', 1.0]];0;bach;bwv19.7
[['G5', 1.0], ('P', 1.0), ('P', 1.0)];[['C5', 1.0], ('P', 1.0), ('P', 1.0)];[['E4', 1.0], ('P', 1.0), ('P', 1.0)];[['C3', 1.0], ('P', 1.0), ('P', 1.0)];[['E5', 2.0], ['D5', 1.0]];[['G4', 2.0], ['F#4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];[['C3', 2.0], ['D3', 1.0]];1;bach;bwv19.7
[('P', 1.0), ('P', 1.0), ['G5', 1.0]];[('P', 2.0), ['D5', 1.0]];[('P', 3.0)];[('P', 3.0)];[['C5', 2.0], ['B4', 1.0]];[['G4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['E3', 1.0], ['F#3', 1.0], ['G3', 1.0]];2;bach;bwv19.7
[['G5', 1.0], ['F#5', 2.0]];[['E5', 1.0], ['D5', 2.0]];[('P', 3.0)];[('P', 3.0)];[['A4', 3.0]];[['E4', 1.0], ['F#4', 2.0]];[['C4', 1.0], ['A3', 2.0]];[['C3', 1.0], ['D3', 2.0]];3;bach;bwv19.7
[['G5', 3.0]];[['D5', 3.0]];[('P', 3.0)];[('P', 3.0)];[['G4', 3.0]];[['D4', 3.0]];[['B3', 3.0]];[['G2', 3.0]];4;bach;bwv19.7
[('P', 1.0), ['G5', 1.0], ['G5', 1.0]];[('P', 1.0), ['E5', 1.0], ['D5', 1.0]];[('P', 3.0)];[('P', 3.0)];[['C5', 2.0], ['D5', 1.0]];[['C4', 2.0], ['G4', 1.0]];[['G3', 2.0], ['B3', 1.0]];[['E3', 2.0], ['G3', 1.0]];5;bach;bwv19.7
[['E5', 1.0], ['G5', 1.0], ['F5', 1.0]];[['C5', 2.0], ['C5', 0.5], ['D5', 0.5]];[('P', 1.0), ['C5', 1.0], ['C4', 1.0]];[('P', 1.0), ['C3', 1.0], ['C3', 1.0]];[['E5', 2.0], ['F5', 1.0]];[['G4', 2.0], ['A4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['A3', 1.0]];6;bach;bwv19.7
[['G5', 1.0], ['A5', 1.0], ['B5', 1.0]];[['E5', 1.0], ['F5', 1.0], ['D5', 1.0]];[['C4', 1.0], ['C4', 0.5], ['C4', 0.5], ['G4', 0.5], ['G4', 0.5]];[['C3', 1.0], ['C3', 1.0], ['G2', 1.0]];[['E5', 1.0], ['D5', 2.0]];[['E4', 1.0], ['A4', 1.0], ['G4', 1.0]];[['C4', 2.0], ['B3', 1.0]];[['G3', 1.0], ['F3', 1.0], ['G3', 1.0]];7;bach;bwv19.7
[['C6', 3.0]];[['E5', 3.0]];[['G4', 3.0]];[['C3', 3.0]];[['C5', 3.0]];[['G4', 3.0]];[['G3', 3.0]];[['C3', 3.0]];8;bach;bwv19.7
[('P', 1.0), ['G5', 1.0], ['F5', 1.0]];[['C5', 3.0]];[('P', 3.0)];[('P', 3.0)];[['E5', 2.0], ['F5', 1.0]];[['G4', 2.0], ['A4', 1.0]];[['C4', 2.0], ['C4', 1.0]];[['C4', 2.0], ['A3', 1.0]];9;bach;bwv19.7
