soprano;alto;tenor;bass;measure;composer;corpus
[['D5', 2.0], ['D5', 2.0], ['D5', 2.0]];[['F#4', 2.0], ['F#4', 2.0], ['E#4', 1.0], ['F#4', 1.0]];[['B3', 2.0], ['B3', 2.0], ['B3', 1.0], ['A3', 1.0]];[['B2', 2.0], ['B3', 1.0], ['A3', 1.0], ['G#3', 1.0], ['F#3', 1.0]];0;bach;bwv123.6
[['C#5', 3.0], ['B4', 1.0], ['A4', 2.0]];[['G#4', 2.0], ['E#4', 2.0], ['F#4', 2.0]];[['G#3', 2.0], ['C#4', 2.0], ['C#4', 2.0]];[['E#3', 2.0], ['C#3', 2.0], ['F#3', 2.0]];1;bach;bwv123.6
[['B4', 2.0], ['G4', 2.0], ['F#4', 1.0], ['E4', 1.0]];[['G4', 2.0], ['E4', 2.0], ['D4', 2.0]];[['D4', 2.0], ['E4', 1.0], ['A3', 1.0], ['A3', 2.0]];[['B2', 2.0], ['C#3', 2.0], ['D3', 2.0]];2;bach;bwv123.6
[['E4', 4.0], ['D4', 2.0]];[['D4', 2.0], ['C#4', 2.0], ['A3', 2.0]];[['A3', 3.0], ['G3', 1.0], ['F#3', 2.0]];[['A3', 2.0], ['A2', 2.0], ['D3', 2.0]];3;bach;bwv123.6
[['A4', 2.0], ['A4', 2.0], ['F#4', 2.0]];[['D4', 2.0], ['E4', 2.0], ['D4', 2.0]];[['A3', 2.0], ['A3', 2.0], ['A3', 2.0]];[['F#3', 2.0], ['C#3', 2.0], ['D3', 2.0]];4;bach;bwv123.6
[['B4', 3.0], ['C#5', 1.0], ['D5', 2.0]];[['D4', 2.0], ['G4', 2.0], ['F#4', 2.0]];[['G3', 1.0], ['A3', 1.0], ['B3', 2.0], ['B3', 2.0]];[['G3', 2.0], ['E3', 2.0], ['B2', 2.0]];5;bach;bwv123.6
[['D4', 1.0], ['E4', 1.0], ['E4', 3.0], ['F#4', 1.0]];[['F#4', 2.0], ['E4', 1.0], ['D4', 1.0], ['C#4', 1.0], ['B3', 1.0]];[['B3', 2.0], ['B3', 2.0], ['E4', 2.0]];[['G2', 2.0], ['G2', 2.0], ['G3', 2.0]];6;bach;bwv123.6
[['F#4', 6.0]];[['C#4', 6.0]];[['A#3', 6.0]];[['F#3', 6.0]];7;bach;bwv123.6
[['F#4', 2.0], ['F#4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0], ['D4', 2.0]];[['B3', 2.0], ['B3', 2.0], ['B3', 2.0]];[['B2', 2.0], ['D3', 2.0], ['E3', 2.0]];8;bach;bwv123.6
[['A4', 2.0], ['F#4', 4.0]];[['E4', 2.0], ['D4', 4.0]];[['A3', 2.0], ['A3', 4.0]];[['C#3', 2.0], ['D3', 4.0]];9;bach;bwv123.6
[['B4', 2.0], ['A#4', 2.0], ['B4', 2.0]];[['F#4', 2.0], ['E4', 2.0], ['F#4', 2.0]];[['B3', 2.0], ['C#4', 2.0], ['D4', 2.0]];[['D3', 2.0], ['C#3', 2.0], ['B2', 2.0]];10;bach;bwv123.6
[['C#5', 2.0], ['A#4', 4.0]];[['F#4', 2.0], ['F#4', 4.0]];[['A#3', 2.0], ['C#4', 4.0]];[['F#3', 2.0], ['F#3', 4.0]];11;bach;bwv123.6
[['D5', 2.0], ['C#5', 2.0], ['B4', 2.0]];[['F#4', 2.0], ['G4', 2.0], ['E4', 2.0]];[['B3', 2.0], ['A#3', 2.0], ['B3', 2.0]];[['B3', 2.0], ['E3', 2.0], ['G3', 2.0]];12;bach;bwv123.6
[['A#4', 3.0], ['F#4', 1.0], ['B4', 2.0]];[['F#4', 3.0], ['F#4', 1.0], ['F#4', 2.0]];[['C#4', 3.0], ['C#4', 1.0], ['B3', 2.0]];[['F#3', 2.0], ['E3', 2.0], ['D3', 2.0]];13;bach;bwv123.6
[['C#5', 1.0], ['D5', 1.0], ['A#4', 3.0], ['B4', 1.0]];[['G4', 2.0], ['F#4', 2.0], ['F#4', 2.0]];[['E4', 1.0], ['D4', 1.0], ['C#4', 2.0], ['C#4', 2.0]];[['E3', 2.0], ['F#3', 2.0], ['F#2', 2.0]];14;bach;bwv123.6
[['B4', 6.0]];[['F#4', 6.0]];[['D#4', 6.0]];[['B2', 6.0]];15;bach;bwv123.6
