trumpet__;trumpet__;trumpet__;soprano;alto;tenor;bass;timpani;measure;composer;corpus
[('P', 1.0)];[('P', 1.0)];[('P', 1.0)];[['C5', 1.0]];[['E4', 1.0]];[['G3', 0.5], ['A3', 0.5]];[['C3', 1.0]];[('P', 1.0)];0;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0]];[['B3', 0.5], ['C4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['C4', 0.5], ['B3', 0.5]];[['G3', 1.0], ['D3', 1.0], ['E3', 1.0], ['A3', 0.5], ['G3', 0.5]];[('P', 4.0)];1;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['F4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['A3', 1.0]];[('P', 4.0)];2;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['G4', 1.0], ['D#4', 1.0], ['E4', 1.0], ['B3', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['G3', 1.0], ['F#3', 1.0], ['E3', 1.5], ['D3', 0.5]];[('P', 4.0)];3;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['E4', 1.5], ['D#4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['G3', 0.5], ['F#3', 0.25], ['E3', 0.25], ['C4', 0.5], ['B3', 0.5], ['B3', 1.0], ['C4', 0.5], ['B3', 0.5]];[['C3', 0.5], ['A2', 0.5], ['F#2', 0.5], ['B2', 0.5], ['E3', 1.0], ['E3', 1.0]];[('P', 4.0)];4;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['B4', 1.0], ['C5', 0.5], ['D5', 0.5], ['E5', 1.0]];[['E4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 1.0], ['A4', 1.0]];[['A3', 1.0], ['E4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0]];[['F#3', 1.0], ['G#3', 1.0], ['A3', 1.5], ['G3', 0.5]];[('P', 4.0)];5;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D5', 2.0], ['C5', 1.0], ['C5', 1.0]];[['A4', 1.0], ['G4', 0.5], ['F4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['C4', 1.0], ['B3', 1.0], ['G3', 1.0], ['G3', 0.5], ['A3', 0.5]];[['F3', 0.5], ['D3', 0.5], ['G3', 1.0], ['C3', 1.0], ['C3', 1.0]];[('P', 4.0)];6;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F4', 1.0], ['E4', 0.5], ['D4', 0.5], ['C4', 1.0]];[['B3', 0.5], ['C4', 0.5], ['D4', 0.5], ['C4', 0.5], ['B3', 1.0], ['C4', 0.5], ['B3', 0.5]];[['G3', 1.0], ['D3', 1.0], ['E3', 1.0], ['A3', 0.5], ['G3', 0.5]];[('P', 4.0)];7;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['C5', 1.0]];[['C4', 1.0], ['F4', 1.0], ['E4', 1.0], ['F#4', 1.0]];[['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['C4', 1.0], ['C4', 1.0]];[['F3', 0.5], ['G3', 0.5], ['A3', 0.5], ['B3', 0.5], ['C4', 1.0], ['A3', 1.0]];[('P', 4.0)];8;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['B4', 1.0], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5], ['E4', 1.0]];[['G4', 1.0], ['D#4', 1.0], ['E4', 1.0], ['B3', 1.0]];[['D4', 0.5], ['E4', 0.5], ['F#4', 1.0], ['B3', 0.5], ['A3', 0.5], ['G3', 1.0]];[['G3', 1.0], ['F#3', 1.0], ['E3', 1.5], ['D3', 0.5]];[('P', 4.0)];9;bach;bwv149.7
[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['A4', 1.0], ['A4', 1.0], ['G4', 1.0], ['G4', 1.0]];[['E4', 1.5], ['D#4', 0.5], ['E4', 1.0], ['E4', 1.0]];[['G3', 0.5], ['F#3', 0.25], ['E3', 0.25], ['C4', 0.5], ['B3', 0.5], ['B3', 1.0], ['C4', 0.5], ['B3', 0.5]];[['C3', 0.5], ['A2', 0.5], ['F#2', 0.5], ['B2', 0.5], ['E3', 1.0], ['E3', 1.0]];[('P', 4.0)];10;bach;bwv149.7
