soprano;alto;tenor;bass;measure;composer;corpus
[['B4', 1.0]];[['F#4', 1.0]];[['D4', 1.0]];[['B3', 1.0]];0;bach;bwv168.6
[['B4', 1.0], ['A#4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0], ['G4', 1.0]];[['C#4', 0.5], ['D4', 0.5], ['E4', 1.0], ['D4', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A#3', 0.5]];[['C#4', 1.0], ['C#3', 1.0], ['D3', 1.0], ['E3', 1.0]];1;bach;bwv168.6
[['D5', 1.0], ['C#5', 1.0], ['B4', 1.0], ['B4', 1.0]];[['F#4', 1.0], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['E4', 1.0]];[['B3', 0.5], ['C#4', 0.5], ['A#3', 1.0], ['B3', 1.0], ['G#3', 1.0]];[['F#3', 0.5], ['E3', 0.5], ['F#3', 1.0], ['B2', 1.0], ['E3', 1.0]];2;bach;bwv168.6
[['C#5', 1.0], ['C#5', 1.0], ['F#5', 1.0], ['E5', 1.0]];[['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 1.0], ['C#5', 1.0]];[['A3', 1.0], ['E4', 1.0], ['D4', 0.5], ['E4', 0.5], ['F#4', 1.0]];[['A2', 1.0], ['A3', 1.0], ['D4', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A#3', 0.5]];3;bach;bwv168.6
[['D5', 2.0], ['C#5', 1.0]];[['C#5', 0.5], ['A#4', 0.5], ['B4', 1.0], ['A#4', 1.0]];[['F#4', 1.5], ['E#4', 0.5], ['F#4', 1.0]];[['B3', 1.0], ['B2', 1.0], ['F#3', 1.0]];4;bach;bwv168.6
[['F#5', 1.0]];[['A4', 1.0]];[['F#4', 1.0]];[['D3', 1.0]];5;bach;bwv168.6
[['E5', 1.0], ['D5', 1.0], ['C#5', 1.0], ['E5', 1.0]];[['A4', 0.5], ['G#4', 0.5], ['A4', 0.5], ['B4', 0.5], ['A4', 1.0], ['G4', 0.5], ['F#4', 0.5]];[['B3', 1.0], ['F#4', 0.5], ['E4', 0.5], ['E4', 0.5], ['D4', 0.5], ['C#4', 1.0]];[['E3', 1.0], ['F#3', 0.5], ['G#3', 0.5], ['A3', 1.0], ['A#3', 1.0]];6;bach;bwv168.6
[['D5', 1.0], ['C#5', 1.0], ['B4', 1.0], ['D5', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['F#4', 1.0], ['F#4', 0.5], ['G#4', 0.5]];[['C#4', 0.5], ['B3', 0.5], ['B3', 0.5], ['A#3', 0.5], ['D4', 1.0], ['B3', 1.0]];[['B3', 1.0], ['F#3', 1.0], ['B2', 1.0], ['B3', 1.0]];7;bach;bwv168.6
[['C#5', 1.0], ['B4', 1.0], ['A4', 0.5], ['G#4', 0.5], ['F#4', 0.5], ['G#4', 0.5]];[['A4', 1.0], ['G#4', 1.0], ['F#4', 1.0], ['C#4', 1.0]];[['E4', 1.0], ['D4', 0.5], ['C#4', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A3', 0.5], ['G#3', 0.5]];[['A3', 0.5], ['G#3', 0.5], ['F#3', 0.5], ['E#3', 0.5], ['F#3', 1.5], ['E3', 0.5]];8;bach;bwv168.6
[['A4', 1.0], ['B4', 1.0], ['C#5', 1.0]];[['F#4', 1.0], ['G#4', 1.0], ['A4', 1.0]];[['F#3', 0.5], ['A3', 0.5], ['D4', 1.0], ['E4', 1.0]];[['D3', 0.5], ['C#3', 0.5], ['B2', 1.0], ['A2', 1.0]];9;bach;bwv168.6
[['C#5', 1.0]];[['A4', 0.5], ['G4', 0.5]];[['E4', 1.0]];[['A3', 1.0]];10;bach;bwv168.6
[['D5', 1.0], ['E5', 1.0], ['F#5', 1.5], ['E5', 0.5]];[['F#4', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['F#4', 2.0]];[['D4', 0.5], ['G4', 0.5], ['F#4', 0.5], ['E4', 0.5], ['D4', 1.0], ['C#4', 1.0]];[['B3', 1.0], ['C#4', 1.0], ['D4', 0.5], ['C#4', 0.5], ['B3', 0.5], ['A#3', 0.5]];11;bach;bwv168.6
[['D5', 1.0], ['E5', 0.5], ['D5', 0.5], ['C#5', 2.0]];[['F#4', 1.0], ['E4', 0.5], ['F#4', 0.5], ['G4', 1.0], ['F#4', 0.5], ['E4', 0.5]];[['C#4', 0.5], ['F#3', 0.5], ['B3', 2.0], ['A#3', 1.0]];[['B3', 0.5], ['A3', 0.5], ['G3', 0.5], ['F#3', 0.5], ['E3', 1.0], ['F#3', 1.0]];12;bach;bwv168.6
[['B4', 3.0]];[['D#4', 3.0]];[['F#3', 3.0]];[['B2', 3.0]];13;bach;bwv168.6
