soprano;alto;tenor;bass;measure;composer;corpus
[('P', 1.0), ['E5', 1.0], ['C5', 1.5], ['B4', 0.5]];[('P', 1.0), ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[('P', 1.0), ['C4', 0.5], ['D4', 0.5], ['E4', 1.0], ['E4', 0.75], ['D4', 0.25]];[('P', 1.0), ['A2', 1.0], ['A3', 1.0], ['E3', 1.0]];0;bach;bwv424
[['A4', 1.0], ['E5', 1.0], ['F5', 1.0], ['E5', 0.5], ['D5', 0.5]];[['E4', 1.0], ['A4', 1.0], ['A4', 1.0], ['G#4', 1.0]];[['C4', 1.0], ['C4', 1.0], ['B3', 1.0], ['B3', 1.0]];[['A2', 1.0], ['E3', 1.0], ['D3', 1.0], ['E3', 1.0]];1;bach;bwv424
[['C5', 1.0], ['D5', 1.0], ['E5', 1.0], ['E5', 1.0]];[['E4', 1.0], ['A4', 1.0], ['G#4', 1.0], ['G#4', 1.0]];[['A3', 0.5], ['C4', 0.5], ['B3', 0.5], ['A3', 0.5], ['B3', 1.0], ['B3', 1.0]];[['A3', 1.0], ['F3', 1.0], ['E3', 1.0], ['E3', 1.0]];2;bach;bwv424
[('P', 1.0), ['C5', 1.0], ['D5', 1.5], ['G4', 0.5]];[('P', 1.0), ['A4', 1.0], ['G4', 1.0], ['F4', 1.0]];[('P', 1.0), ['E4', 1.0], ['D4', 1.0], ['D4', 1.0]];[('P', 1.0), ['A2', 1.0], ['B2', 2.0]];3;bach;bwv424
[['G4', 2.0], ('P', 1.0), ['D5', 1.0]];[['F4', 1.0], ['E4', 1.0], ('P', 1.0), ['G4', 1.0]];[['C4', 2.0], ('P', 1.0), ['D4', 1.0]];[['C3', 2.0], ('P', 1.0), ['B2', 1.0]];4;bach;bwv424
[['E5', 1.5], ['C5', 0.5], ['C5', 2.0]];[['G4', 1.0], ['G4', 1.0], ['F4', 2.0]];[['C4', 1.0], ['C4', 0.5], ['B-3', 0.5], ['A3', 2.0]];[['C3', 1.0], ['E3', 1.0], ['F3', 2.0]];5;bach;bwv424
[('P', 1.0), ['E5', 1.0], ['F5', 1.0], ['E5', 1.0]];[('P', 1.0), ['G4', 1.0], ['F4', 0.5], ['A4', 0.5], ['G#4', 1.0]];[('P', 1.0), ['C#4', 1.0], ['D4', 1.5], ['C4', 0.5]];[('P', 1.0), ['E3', 1.0], ['D3', 1.0], ['E3', 1.0]];6;bach;bwv424
[['D5', 1.0], ['C5', 1.0], ['B4', 1.5], ['A4', 0.5]];[['A4', 0.5], ['D4', 0.5], ['E4', 1.0], ['F4', 1.0], ['E4', 1.0]];[['C4', 0.5], ['B3', 1.0], ['A3', 1.0], ['G#3', 1.0], ['A3', 0.5]];[['F3', 1.0], ['E3', 1.0], ['D3', 1.0], ['C3', 1.0]];7;bach;bwv424
[['G#4', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5], ['B4', 2.0]];[['D4', 1.0], ['A4', 2.0], ['G#4', 1.0]];[['B3', 1.0], ['E4', 1.0], ['E4', 1.0], ['E4', 0.5], ['D4', 0.5]];[['B2', 1.0], ['A2', 1.0], ['E3', 1.0], ['E2', 1.0]];8;bach;bwv424
[['A4', 2.0], ('P', 2.0)];[['E4', 2.0], ('P', 2.0)];[['C#4', 2.0], ('P', 2.0)];[['A2', 2.0], ('P', 2.0)];9;bach;bwv424
