soprano;alto;tenor;bass;measure;composer;corpus
[['A4', 1.0]];[['E4', 1.0]];[['C#4', 1.0]];[['A3', 1.0]];0;bach;bwv197.5
[['B4', 1.0], ['B4', 1.0], ['A4', 1.0], ['G#4', 0.5], ['F#4', 0.5]];[['E4', 1.0], ['E4', 1.0], ['E4', 1.0], ['D4', 0.5], ['C#4', 0.5]];[['B3', 0.5], ['A3', 0.5], ['G#3', 1.0], ['A3', 1.0], ['B3', 0.5], ['A3', 0.5]];[['G#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['A2', 0.5], ['D3', 1.0]];1;bach;bwv197.5
[['E4', 1.0], ['F#4', 0.5], ['G#4', 0.5], ['A4', 1.0], ['B4', 1.0]];[['B3', 0.5], ['C#4', 0.5], ['A3', 0.5], ['D4', 0.5], ['C#4', 1.0], ['F#4', 0.5], ['E4', 0.5]];[['G#3', 0.5], ['B3', 0.5], ['F#3', 0.5], ['B3', 0.5], ['E3', 0.5], ['A3', 1.0], ['G#3', 0.5]];[['D3', 0.5], ['C#3', 0.5], ['D3', 0.5], ['B2', 0.5], ['C#3', 0.5], ['F#3', 0.5], ['D3', 0.5], ['E3', 0.5]];2;bach;bwv197.5
[['A4', 3.0], ['C#5', 0.5], ['D5', 0.5]];[['E4', 3.0], ['A4', 1.0]];[['C#4', 3.0], ['E4', 1.0]];[['A2', 3.0], ['A3', 1.0]];3;bach;bwv197.5
[['E5', 1.0], ['F#5', 1.0], ['E5', 1.5], ['D5', 0.5]];[['B4', 0.5], ['C#5', 0.5], ['D5', 0.5], ['C#5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['F#4', 0.5]];[['E4', 1.0], ['A3', 1.0], ['B3', 0.5], ['C#4', 0.5], ['D4', 1.0]];[['A3', 0.5], ['G#3', 0.5], ['F#3', 1.0], ['G#3', 0.5], ['A3', 0.5], ['B3', 1.0]];4;bach;bwv197.5
[['C#5', 0.5], ['B4', 0.5], ['A4', 0.5], ['G#4', 0.5], ['F#4', 1.0], ['G#4', 1.0]];[['G#4', 0.5], ['E#4', 0.5], ['C#4', 1.0], ['D4', 1.0], ['D4', 1.0]];[['G#3', 1.0], ['A3', 1.0], ['A3', 1.0], ['B3', 1.0]];[['E#3', 0.5], ['C#3', 0.5], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 1.0]];5;bach;bwv197.5
[['A4', 2.0], ['C#5', 1.0], ['C#5', 1.0]];[['C#4', 2.0], ['E4', 1.0], ['E4', 1.0]];[['E3', 2.0], ['A3', 1.0], ['A3', 1.0]];[['A2', 2.0], ['A2', 0.5], ['B2', 0.5], ['C#3', 0.5], ['D3', 0.5]];6;bach;bwv197.5
[['C#5', 1.0], ['B4', 1.0], ['C#5', 2.0]];[['E4', 0.5], ['F#4', 0.5], ['G#4', 0.5], ['F#4', 0.5], ['E#4', 0.5], ['F#4', 1.0], ['E#4', 0.5]];[['G#3', 0.5], ['A3', 0.5], ['B3', 1.0], ['B3', 0.5], ['A3', 0.5], ['G#3', 0.5], ['C#4', 0.5]];[['E3', 1.5], ['D3', 0.5], ['C#3', 2.0]];7;bach;bwv197.5
[['A4', 1.0], ['A4', 1.0], ['B4', 0.5], ['C#5', 0.5], ['D5', 1.0]];[['F#4', 1.0], ['F#4', 1.0], ['G#4', 0.5], ['A4', 0.5], ['B4', 1.0]];[['C#4', 1.0], ['C#4', 1.0], ['B3', 0.5], ['A3', 1.0], ['G#3', 0.25], ['F#3', 0.25]];[['F#3', 1.0], ['F#3', 0.5], ['E3', 0.5], ['D3', 0.5], ['C#3', 0.5], ['B2', 0.5], ['E3', 0.5]];8;bach;bwv197.5
[['C#5', 1.5], ['B4', 0.5], ['A4', 2.0]];[['B4', 1.0], ['A4', 0.5], ['G4', 0.5], ['F#4', 2.0]];[['E3', 1.0], ['A3', 1.0], ['A3', 2.0]];[['A2', 0.5], ['B2', 0.5], ['C#3', 1.0], ['D3', 2.0]];9;bach;bwv197.5
